base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-07-19,14:00:00,2021-07-20,05:00:00,gwangju,58,74,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,gyeongbuk,89,91,24.0
2021-07-19,14:00:00,2021-07-20,05:00:00,gyeonggi,60,120,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,gyeongnam,91,77,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,incheon,55,124,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,jeju,52,38,26.0
2021-07-19,14:00:00,2021-07-20,05:00:00,jeonbuk,63,89,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,jeonnam,51,67,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,sejong,66,103,25.0
2021-07-19,14:00:00,2021-07-20,05:00:00,seoul,60,127,26.0
2021-07-19,14:00:00,2021-07-20,05:00:00,ulsan,102,84,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,busan,98,76,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,chungbuk,69,107,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,chungnam,68,100,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,daegu,89,90,24.0
2021-07-19,14:00:00,2021-07-20,06:00:00,daejeon,67,100,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,gangwon,73,134,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,gwangju,58,74,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,gyeongbuk,89,91,24.0
2021-07-19,14:00:00,2021-07-20,06:00:00,gyeonggi,60,120,26.0
2021-07-19,14:00:00,2021-07-20,06:00:00,gyeongnam,91,77,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,incheon,55,124,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,jeju,52,38,26.0
2021-07-19,14:00:00,2021-07-20,06:00:00,jeonbuk,63,89,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,jeonnam,51,67,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,sejong,66,103,25.0
2021-07-19,14:00:00,2021-07-20,06:00:00,seoul,60,127,26.0
2021-07-19,14:00:00,2021-07-20,06:00:00,ulsan,102,84,25.0
2021-07-19,14:00:00,2021-07-20,07:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,chungbuk,69,107,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,chungnam,68,100,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,daegu,89,90,25.0
2021-07-19,14:00:00,2021-07-20,07:00:00,daejeon,67,100,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,gangwon,73,134,25.0
2021-07-19,14:00:00,2021-07-20,07:00:00,gwangju,58,74,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,gyeongbuk,89,91,25.0
2021-07-19,14:00:00,2021-07-20,07:00:00,gyeonggi,60,120,27.0
2021-07-19,14:00:00,2021-07-20,07:00:00,gyeongnam,91,77,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,incheon,55,124,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,jeju,52,38,27.0
2021-07-19,14:00:00,2021-07-20,07:00:00,jeonbuk,63,89,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,jeonnam,51,67,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,sejong,66,103,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,seoul,60,127,26.0
2021-07-19,14:00:00,2021-07-20,07:00:00,ulsan,102,84,26.0
2021-07-19,14:00:00,2021-07-20,08:00:00,busan,98,76,28.0
2021-07-19,14:00:00,2021-07-20,08:00:00,chungbuk,69,107,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,chungnam,68,100,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,daegu,89,90,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,daejeon,67,100,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,gangwon,73,134,26.0
2021-07-19,14:00:00,2021-07-20,08:00:00,gwangju,58,74,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,gyeongbuk,89,91,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,gyeonggi,60,120,28.0
2021-07-19,14:00:00,2021-07-20,08:00:00,gyeongnam,91,77,28.0
2021-07-19,14:00:00,2021-07-20,08:00:00,incheon,55,124,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,jeju,52,38,28.0
2021-07-19,14:00:00,2021-07-20,08:00:00,jeonbuk,63,89,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,jeonnam,51,67,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,sejong,66,103,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,seoul,60,127,27.0
2021-07-19,14:00:00,2021-07-20,08:00:00,ulsan,102,84,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,busan,98,76,29.0
2021-07-19,14:00:00,2021-07-20,09:00:00,chungbuk,69,107,29.0
2021-07-19,14:00:00,2021-07-20,09:00:00,chungnam,68,100,29.0
2021-07-19,14:00:00,2021-07-20,09:00:00,daegu,89,90,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,daejeon,67,100,29.0
2021-07-19,14:00:00,2021-07-20,09:00:00,gangwon,73,134,27.0
2021-07-19,14:00:00,2021-07-20,09:00:00,gwangju,58,74,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,gyeongbuk,89,91,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,gyeonggi,60,120,29.0
2021-07-19,14:00:00,2021-07-20,09:00:00,gyeongnam,91,77,29.0
2021-07-19,14:00:00,2021-07-20,09:00:00,incheon,55,124,29.0
2021-07-19,14:00:00,2021-07-20,09:00:00,jeju,52,38,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,jeonbuk,63,89,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,jeonnam,51,67,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,sejong,66,103,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,seoul,60,127,28.0
2021-07-19,14:00:00,2021-07-20,09:00:00,ulsan,102,84,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,busan,98,76,30.0
2021-07-19,14:00:00,2021-07-20,10:00:00,chungbuk,69,107,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,chungnam,68,100,30.0
2021-07-19,14:00:00,2021-07-20,10:00:00,daegu,89,90,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,daejeon,67,100,30.0
2021-07-19,14:00:00,2021-07-20,10:00:00,gangwon,73,134,28.0
2021-07-19,14:00:00,2021-07-20,10:00:00,gwangju,58,74,30.0
2021-07-19,14:00:00,2021-07-20,10:00:00,gyeongbuk,89,91,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,gyeonggi,60,120,30.0
2021-07-19,14:00:00,2021-07-20,10:00:00,gyeongnam,91,77,30.0
2021-07-19,14:00:00,2021-07-20,10:00:00,incheon,55,124,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,jeju,52,38,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,jeonbuk,63,89,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,jeonnam,51,67,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,sejong,66,103,30.0
2021-07-19,14:00:00,2021-07-20,10:00:00,seoul,60,127,29.0
2021-07-19,14:00:00,2021-07-20,10:00:00,ulsan,102,84,30.0
2021-07-19,14:00:00,2021-07-20,11:00:00,busan,98,76,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,chungbuk,69,107,30.0
2021-07-19,14:00:00,2021-07-20,11:00:00,chungnam,68,100,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,daegu,89,90,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,daejeon,67,100,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,gangwon,73,134,29.0
2021-07-19,14:00:00,2021-07-20,11:00:00,gwangju,58,74,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,gyeongbuk,89,91,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,gyeonggi,60,120,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,gyeongnam,91,77,31.0
2021-07-19,14:00:00,2021-07-20,11:00:00,incheon,55,124,30.0
2021-07-19,14:00:00,2021-07-20,11:00:00,jeju,52,38,29.0
2021-07-19,14:00:00,2021-07-20,11:00:00,jeonbuk,63,89,31.0
