id,cdate,land_wa,jeju_wa
491,2016-05-05,66.74,74.35
492,2016-05-06,67.79,74.99
493,2016-05-07,67.79,74.89
494,2016-05-08,61.51,76.07
495,2016-05-09,66.41,75.09
496,2016-05-10,69.56,73.66
497,2016-05-11,69.97,75.15
498,2016-05-12,69.19,75.45
499,2016-05-13,69.56,76.16
500,2016-05-14,70.92,73.4
501,2016-05-15,66.45,76.83
502,2016-05-16,68.07,75.99
503,2016-05-17,70.62,75.37
504,2016-05-18,70.91,75.77
505,2016-05-19,71.2,75.36
506,2016-05-20,71.3,74.85
507,2016-05-21,70.0,75.01
508,2016-05-22,66.89,73.78
509,2016-05-23,68.96,72.62
510,2016-05-24,70.36,76.19
511,2016-05-25,70.84,75.01
512,2016-05-26,70.57,75.66
513,2016-05-27,71.09,75.17
514,2016-05-28,71.11,82.3
515,2016-05-29,67.12,76.94
516,2016-05-30,69.08,76.69
517,2016-05-31,71.1,75.46
518,2016-06-01,65.21,80.36
519,2016-06-02,65.1,78.2
520,2016-06-03,64.82,81.1
521,2016-06-04,65.05,77.17
522,2016-06-05,62.46,76.83
523,2016-06-06,64.52,80.25
524,2016-06-07,63.11,81.41
525,2016-06-08,65.18,82.56
526,2016-06-09,65.18,81.92
527,2016-06-10,65.71,85.8
528,2016-06-11,65.07,85.21
529,2016-06-12,63.12,82.41
530,2016-06-13,63.37,86.83
531,2016-06-14,65.51,87.13
532,2016-06-15,65.45,91.46
533,2016-06-16,65.7,86.59
534,2016-06-17,65.25,88.35
535,2016-06-18,66.4,81.97
536,2016-06-19,63.82,89.53
537,2016-06-20,63.31,83.46
538,2016-06-21,66.07,81.75
539,2016-06-22,66.58,82.21
540,2016-06-23,66.72,77.12
541,2016-06-24,66.37,83.76
542,2016-06-25,66.59,80.73
543,2016-06-26,64.86,78.74
544,2016-06-27,65.56,80.27
545,2016-06-28,65.67,83.86
546,2016-06-29,65.67,82.95
547,2016-06-30,65.78,77.77
548,2016-07-01,67.8,86.25
549,2016-07-02,66.94,88.77
550,2016-07-03,65.04,89.8
551,2016-07-04,64.32,93.96
552,2016-07-05,67.18,95.64
553,2016-07-06,66.79,97.52
554,2016-07-07,67.66,94.38
555,2016-07-08,68.01,88.35
556,2016-07-09,68.33,91.51
557,2016-07-10,63.33,90.37
558,2016-07-11,63.01,90.01
559,2016-07-12,67.33,94.13
560,2016-07-13,67.93,95.58
561,2016-07-14,67.89,96.82
562,2016-07-15,67.88,97.25
563,2016-07-16,67.69,92.28
564,2016-07-17,62.83,92.63
565,2016-07-18,63.65,98.67
566,2016-07-19,67.97,96.28
567,2016-07-20,66.75,93.49
568,2016-07-21,66.99,92.86
569,2016-07-22,67.63,95.39
570,2016-07-23,67.47,93.31
571,2016-07-24,63.58,93.37
572,2016-07-25,63.84,99.69
573,2016-07-26,68.28,94.94
574,2016-07-27,68.31,94.86
575,2016-07-28,68.92,96.55
576,2016-07-29,68.93,96.57
577,2016-07-30,68.78,94.82
578,2016-07-31,67.58,90.7
579,2016-08-01,67.49,103.1
580,2016-08-02,68.38,102.38
581,2016-08-03,69.11,103.24
582,2016-08-04,69.82,102.01
583,2016-08-05,70.97,104.1
584,2016-08-06,73.68,95.15
585,2016-08-07,70.86,96.56
586,2016-08-08,68.72,101.11
587,2016-08-09,71.31,103.51
588,2016-08-10,74.58,104.11
589,2016-08-11,74.03,100.97
590,2016-08-12,75.49,105.38
591,2016-08-13,70.66,103.74
592,2016-08-14,69.82,96.56
593,2016-08-15,72.19,102.39
594,2016-08-16,74.14,102.87
595,2016-08-17,74.55,100.83
596,2016-08-18,73.54,104.32
597,2016-08-19,73.35,101.9
598,2016-08-20,70.86,99.88
599,2016-08-21,70.12,90.84
600,2016-08-22,73.62,100.2
601,2016-08-23,72.28,101.84
602,2016-08-24,72.92,100.93
603,2016-08-25,71.36,102.66
604,2016-08-26,70.77,102.6
605,2016-08-27,70.17,102.36
606,2016-08-28,68.58,100.28
607,2016-08-29,70.53,102.62
608,2016-08-30,68.7,100.52
609,2016-08-31,68.48,91.96
610,2016-09-01,71.33,95.28
611,2016-09-02,71.16,99.79
612,2016-09-03,73.89,100.11
613,2016-09-04,73.54,95.76
614,2016-09-05,73.4,95.26
615,2016-09-06,73.19,98.21
616,2016-09-07,73.54,98.69
617,2016-09-08,73.28,98.57
618,2016-09-09,73.52,97.58
619,2016-09-10,72.56,94.98
620,2016-09-11,71.21,97.87
621,2016-09-12,72.17,101.32
622,2016-09-13,71.56,97.39
623,2016-09-14,68.48,98.17
624,2016-09-15,37.55,86.6
625,2016-09-16,61.03,93.55
